iter	Passed	Remaining
413	3047	4313
414	3053	4304
415	3059	4295
416	3065	4286
417	3071	4276
418	3077	4266
419	3082	4257
420	3088	4247
421	3094	4239
422	3100	4229
423	3107	4221
424	3113	4212
425	3119	4202
426	3124	4193
427	3130	4184
428	3136	4174
429	3142	4165
430	3149	4157
431	3155	4148
432	3161	4139
433	3167	4130
434	3173	4121
435	3179	4112
436	3185	4103
437	3191	4094
438	3197	4085
439	3203	4076
440	3209	4068
441	3215	4059
442	3221	4050
443	3227	4041
444	3233	4032
445	3239	4023
446	3245	4014
447	3250	4005
448	3256	3996
449	3263	3988
450	3269	3979
451	3275	3971
452	3281	3962
453	3287	3953
454	3293	3944
455	3299	3936
456	3305	3927
457	3311	3919
458	3317	3910
459	3323	3901
460	3329	3892
461	3335	3884
462	3341	3875
463	3346	3866
464	3352	3857
465	3358	3848
466	3364	3840
467	3370	3831
468	3376	3822
469	3382	3814
470	3388	3806
471	3394	3797
472	3400	3788
473	3406	3780
474	3412	3772
475	3418	3763
476	3424	3754
477	3430	3746
478	3436	3737
479	3442	3728
480	3448	3720
481	3454	3712
482	3460	3704
483	3466	3695
484	3472	3687
485	3478	3678
486	3483	3669
487	3489	3661
488	3495	3652
489	3501	3644
490	3507	3635
491	3513	3627
492	3518	3618
493	3524	3610
494	3530	3602
495	3536	3593
496	3543	3586
497	3549	3578
498	3555	3570
499	3561	3561
500	3568	3554
501	3574	3546
502	3580	3537
503	3586	3529
504	3591	3520
505	3597	3512
506	3603	3504
507	3609	3496
508	3615	3487
509	3621	3479
510	3627	3471
511	3633	3463
512	3639	3454
513	3644	3446
514	3651	3438
515	3657	3430
516	3663	3422
517	3669	3414
518	3674	3405
519	3681	3397
520	3686	3389
521	3692	3381
522	3698	3373
523	3704	3365
524	3710	3356
525	3716	3348
526	3721	3340
527	3727	3332
528	3733	3324
529	3739	3316
530	3745	3308
531	3751	3300
532	3757	3292
533	3763	3283
534	3768	3275
535	3774	3267
536	3780	3259
537	3786	3251
538	3792	3243
539	3798	3235
540	3804	3227
541	3810	3219
542	3815	3211
543	3821	3203
544	3827	3195
545	3833	3187
546	3839	3179
547	3845	3171
548	3851	3163
549	3856	3155
550	3862	3147
551	3869	3140
552	3874	3132
553	3881	3124
554	3887	3116
555	3892	3108
556	3898	3100
557	3904	3092
558	3910	3084
559	3916	3077
560	3922	3069
561	3928	3061
562	3934	3054
563	3940	3046
564	3946	3038
565	3952	3030
